id,origin,destination,distance_km,zone,base_fare_zar
596,KHAYELITSHA,FISANTEKRAAL,44.41,Zone 5,35.0
597,LWANDLE,SOMERSET WEST (VIA MEDI CITY),9.05,Zone 2,12.0
598,BELLVILLE,MITCHELLS PLAIN,26.79,Zone 4,25.0
599,EINDHOVEN,MITCHELLS PLAIN,13.24,Zone 3,18.0
600,TYGERBERG RAILWAY STATION,TYGERBERG HOSPITAL,4.41,Zone 1,8.0
601,TYGERBERG RAILWAY STATION,RAVENSMEAD,8.58,Zone 2,12.0
602,WESBANK,EERSTE RIVER,16.68,Zone 3,18.0
603,DURBANVILLE,VISSERSHOK FARM,10.74,Zone 3,18.0
604,TYGERBERG HOSPITAL,DELFT SOUTH,21.75,Zone 4,25.0
605,KALKFONTEIN,BELLVILLE,11.94,Zone 3,18.0
